0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,210.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,30.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,300.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,180.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,150.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,60.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,240.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,0.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,330.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,270.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,90.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,120.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,120.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,150.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
0.16,1.0,1.0,35.0,0.0,4500.0,2000.0,500.0,1000.0,210.0,5000.0,5.0,200.0,5.0,5.0,10.0,1.0,
